  269,20160423,   50,   58,   73
  269,20160424,   51,   50,   76
  269,20160425,   51,   47,   83
  269,20160426,   68,   46,   86
  269,20160427,   44,   56,   82
  269,20160428,   33,   49,   81
  269,20160429,   65,   74,   79
  269,20160430,   37,   73,   77
  269,20160501,   23,   79,   77
  269,20160502,   40,  113,   74
  269,20160503,   43,   96,   75
  269,20160504,   18,  100,   68
  269,20160505,   38,  130,   55
  269,20160506,   33,  172,   58
  269,20160507,   35,  196,   53
  269,20160508,   52,  197,   47
  269,20160509,   58,  197,   53
  269,20160510,   33,  185,   67
  269,20160511,   38,  196,   62
  269,20160512,   61,  191,   58
  269,20160513,   61,  143,   64
  269,20160514,   60,   86,   70
  269,20160515,   56,   89,   64
  269,20160516,   37,   94,   72
  269,20160517,   30,  119,   73
  269,20160518,   32,  134,   75
  269,20160519,   29,  135,   82
  269,20160520,   43,  132,   86
  269,20160521,   51,  176,   72
  269,20160522,   26,  157,   87
  269,20160523,   58,  123,   90
  269,20160524,   48,  111,   81
  269,20160525,   16,  124,   90
  269,20160526,   19,  140,   83
  269,20160527,   40,  154,   79
  269,20160528,   30,  171,   84
  269,20160529,   50,  172,   85
  269,20160530,   56,  173,   90
  269,20160531,   30,  193,   76
  269,20160601,   48,  201,   80
  269,20160602,   51,  155,   90
  269,20160603,   24,  176,   89
  269,20160604,   28,  209,   76
  269,20160605,   39,  182,   77
  269,20160606,   32,  175,   76
  269,20160607,   31,  188,   74
  269,20160608,   32,  146,   82
  269,20160609,   32,  143,   71
  269,20160610,   22,  152,   72
  269,20160611,   22,  160,   72
  269,20160612,   15,  166,   83
  269,20160613,   33,  158,   91
  269,20160614,   32,  154,   90
  269,20160615,   24,  145,   89
  269,20160616,   20,  161,   79
  269,20160617,   28,  160,   80
  269,20160618,   44,  144,   82
  269,20160619,   38,  152,   69
  269,20160620,   58,  155,   91
  269,20160621,   30,  173,   91
  269,20160622,   29,  198,   80
  269,20160623,   24,  217,   88
  269,20160624,   32,  191,   87
  269,20160625,   17,  152,   90
  269,20160626,   38,  145,   84
  269,20160627,   44,  148,   86
  269,20160628,   25,  165,   78
  269,20160629,   53,  157,   82
  269,20160630,   46,  159,   91
  269,20160701,   60,  165,   89
  269,20160702,   58,  147,   76
  269,20160703,   38,  146,   81
  269,20160704,   17,  172,   76
  269,20160705,   58,  153,   86
  269,20160706,   40,  147,   77
  269,20160707,   32,  165,   76
  269,20160708,   40,  164,   88
  269,20160709,   34,  180,   82
  269,20160710,   46,  204,   77
  269,20160711,   77,  177,   75
  269,20160712,   31,  163,   90
  269,20160713,   27,  142,   86
  269,20160714,   45,  147,   75
  269,20160715,   39,  163,   73
  269,20160716,   38,  185,   88
  269,20160717,   37,  190,   82
  269,20160718,   20,  187,   74
  269,20160719,   19,  209,   69
  269,20160720,   34,  241,   68
  269,20160721,   28,  213,   83
  269,20160722,   20,  201,   87
  269,20160723,   28,  197,   88
  269,20160724,   18,  202,   83
  269,20160725,   32,  181,   85
  269,20160726,   21,  186,   77
  269,20160727,   43,  182,   86
  269,20160728,   28,  181,   90
  269,20160729,   46,  182,   85
  269,20160730,   26,  179,   83
  269,20160731,   34,  164,   79
  269,20160801,   29,  162,   78
  269,20160802,   33,  166,   91
  269,20160803,   66,  190,   88
  269,20160804,   56,  172,   82
  269,20160805,   38,  172,   82
  269,20160806,   31,  164,   82
  269,20160807,   54,  179,   85
  269,20160808,   55,  171,   73
  269,20160809,   35,  139,   80
  269,20160810,   31,  129,   75
  269,20160811,   50,  138,   93
  269,20160812,   48,  183,   88
  269,20160813,   40,  172,   88
  269,20160814,   20,  157,   83
  269,20160815,   23,  160,   79
  269,20160816,   35,  154,   79
  269,20160817,   40,  164,   74
  269,20160818,   37,  167,   78
  269,20160819,   31,  180,   81
  269,20160820,   53,  178,   78
  269,20160821,   55,  163,   89
  269,20160822,   48,  174,   90
  269,20160823,   21,  212,   73
  269,20160824,   25,  233,   69
  269,20160825,   18,  239,   74
  269,20160826,   24,  207,   82
  269,20160827,   46,  206,   78
  269,20160828,   44,  201,   85
  269,20160829,   33,  170,   81
  269,20160830,   15,  164,   82
  269,20160831,   22,  177,   76
  269,20160901,   25,  173,   82
  269,20160902,   39,  166,   85
  269,20160903,   34,  179,   84
  269,20160904,   67,  177,   85
  269,20160905,   29,  178,   86
  269,20160906,   20,  183,   86
  269,20160907,   17,  188,   81
  269,20160908,   33,  194,   79
  269,20160909,   24,  175,   82
  269,20160910,   26,  187,   73
  269,20160911,   19,  187,   86
  269,20160912,   21,  213,   74
  269,20160913,   25,  233,   72
  269,20160914,   28,  230,   71
  269,20160915,   39,  217,   70
  269,20160916,   35,  177,   83
  269,20160917,   22,  171,   85
  269,20160918,   36,  164,   80
  269,20160919,   17,  145,   80
  269,20160920,   15,  142,   80
  269,20160921,   19,  149,   71
  269,20160922,   20,  146,   79
  269,20160923,   28,  143,   79
  269,20160924,   31,  163,   70
  269,20160925,   41,  168,   73
  269,20160926,   11,  138,   85
  269,20160927,   30,  145,   72
  269,20160928,   66,  182,   75
  269,20160929,   73,  155,   86
  269,20160930,   41,  137,   81
  269,20161001,   33,  133,   84
  269,20161002,   50,  120,   88
  269,20161003,   34,  140,   83
  269,20161004,   45,  124,   81
  269,20161005,   48,   90,   76
  269,20161006,   43,   93,   80
  269,20161007,   40,  118,   82
  269,20161008,   29,  104,   80
  269,20161009,   11,   72,   89
  269,20161010,   15,   69,   84
  269,20161011,   23,   84,   89
  269,20161012,   46,   89,   82
  269,20161013,   59,   87,   82
  269,20161014,   53,   94,   80
  269,20161015,   31,  105,   92
  269,20161016,   28,  130,   77
  269,20161017,   29,  119,   89
  269,20161018,   51,  101,   89
  269,20161019,   44,   90,   86
